criterion,max_depth,min_samples_leaf,min_samples_split,score,splitter
mse,7,105,10,-0.14479758698044054,random
mse,7,5,15,0.05629737397738932,random
mse,7,10,15,0.05191397639847306,random
mse,7,15,15,0.03609904019279575,random
mse,7,25,15,0.05105285419565664,random
mse,7,40,15,0.03397578996771844,random
mse,7,65,15,0.030099565291501817,random
mse,7,105,15,-0.14479758698044054,random
mse,7,5,25,0.05955888441585211,random
mse,7,10,25,0.051695937560995664,random
mse,7,15,25,0.03609904019279575,random
mse,7,25,25,0.05105285419565664,random
mse,7,40,25,0.03397578996771844,random
mse,7,65,25,0.030099565291501817,random
mse,7,105,25,-0.14479758698044054,random
mse,7,5,40,0.0548624200264487,random
mse,7,10,40,0.05545245919559216,random
mse,7,15,40,0.03573856658896335,random
mse,7,25,40,0.05105285419565664,random
mse,7,40,40,0.03397578996771844,random
mse,7,65,40,0.030099565291501817,random
mse,7,105,40,-0.14479758698044054,random
mse,7,5,65,0.05818039833890465,random
mse,7,10,65,0.05037284693027855,random
mse,7,15,65,0.03467295772921941,random
mse,7,25,65,0.049744759889477574,random
mse,7,40,65,0.03397578996771844,random
mse,7,65,65,0.030099565291501817,random
mse,7,105,65,-0.14479758698044054,random
mse,7,5,105,0.053291281638208066,random
mse,7,10,105,0.05545413516878683,random
mse,7,15,105,0.03696415756134208,random
mse,7,25,105,0.05535107469154765,random
mse,7,40,105,0.032285084132367636,random
mse,7,65,105,0.030099565291501817,random
mse,7,105,105,-0.14479758698044054,random
mse,8,5,5,0.03434391741171294,best
mse,8,10,5,0.0464164956594596,best
mse,8,15,5,0.03052381208930488,best
mse,8,25,5,0.04810711379974009,best
mse,8,40,5,0.03056095692249805,best
mse,8,65,5,0.030329219392962625,best
mse,8,105,5,-0.14479758698044165,best
mse,8,5,10,0.03434391741171294,best
mse,8,10,10,0.0464164956594596,best
mse,8,15,10,0.03052381208930488,best
mse,8,25,10,0.04810711379974009,best
mse,8,40,10,0.03056095692249805,best
mse,8,65,10,0.030329219392962625,best
mse,8,105,10,-0.14479758698044165,best
mse,8,5,15,0.04767796561919457,best
mse,8,10,15,0.0464164956594596,best
mse,8,15,15,0.03052381208930488,best
mse,8,25,15,0.04810711379974009,best
mse,8,40,15,0.03056095692249805,best
mse,8,65,15,0.030329219392962625,best
mse,8,105,15,-0.14479758698044165,best
mse,8,5,25,0.05138207665244743,best
mse,8,10,25,0.046281665886636514,best
mse,8,15,25,0.03052381208930488,best
mse,8,25,25,0.04810711379974009,best
mse,8,40,25,0.03056095692249805,best
mse,8,65,25,0.030329219392962625,best
mse,8,105,25,-0.14479758698044165,best
mse,8,5,40,0.04470099115417725,best
mse,8,10,40,0.04937168588535901,best
mse,8,15,40,0.029776333677376088,best
mse,8,25,40,0.04810711379974009,best
mse,8,40,40,0.03056095692249805,best
mse,8,65,40,0.030329219392962625,best
mse,8,105,40,-0.14479758698044165,best
mse,8,5,65,0.048573368927235294,best
mse,8,10,65,0.04456302092543318,best
mse,8,15,65,0.028692244054752014,best
mse,8,25,65,0.046794454862552626,best
mse,8,40,65,0.03056095692249805,best
mse,8,65,65,0.030329219392962625,best
mse,8,105,65,-0.14479758698044165,best
mse,8,5,105,0.04618029006359392,best
mse,8,10,105,0.04963512408748427,best
mse,8,15,105,0.030959241420178807,best
mse,8,25,105,0.05238277504231692,best
mse,8,40,105,0.0286293864355327,best
mse,8,65,105,0.030329219392962625,best
mse,8,105,105,-0.14479758698044165,best
mse,8,5,5,0.03434391741171339,random
mse,8,10,5,0.046509431830439985,random
mse,8,15,5,0.030523812089300995,random
mse,8,25,5,0.04810711379973576,random
mse,8,40,5,0.030560956922500937,random
mse,8,65,5,0.030329219392961404,random
mse,8,105,5,-0.14479758698043965,random
mse,8,5,10,0.03434391741171339,random
mse,8,10,10,0.046509431830439985,random
mse,8,15,10,0.030523812089300995,random
mse,8,25,10,0.04810711379973576,random
mse,8,40,10,0.030560956922500937,random
mse,8,65,10,0.030329219392961404,random
mse,8,105,10,-0.14479758698043965,random
mse,8,5,15,0.04838653277840066,random
mse,8,10,15,0.046509431830439985,random
mse,8,15,15,0.030523812089300995,random
mse,8,25,15,0.04810711379973576,random
mse,8,40,15,0.030560956922500937,random
mse,8,65,15,0.030329219392961404,random
mse,8,105,15,-0.14479758698043965,random
mse,8,5,25,0.0513820766524371,random
mse,8,10,25,0.0462816658866303,random
mse,8,15,25,0.030523812089300995,random
mse,8,25,25,0.04810711379973576,random
mse,8,40,25,0.030560956922500937,random
mse,8,65,25,0.030329219392961404,random
mse,8,105,25,-0.14479758698043965,random
mse,8,5,40,0.04444664358997308,random
mse,8,10,40,0.049371685885350125,random
mse,8,15,40,0.029776333677373867,random
mse,8,25,40,0.04810711379973576,random
mse,8,40,40,0.030560956922500937,random
mse,8,65,40,0.030329219392961404,random
mse,8,105,40,-0.14479758698043965,random
mse,8,5,65,0.04857336892723285,random
mse,8,10,65,0.04456302092543063,random
mse,8,15,65,0.02869224405475035,random
mse,8,25,65,0.04679445486255196,random
mse,8,40,65,0.030560956922500937,random
mse,8,65,65,0.030329219392961404,random
mse,8,105,65,-0.14479758698043965,random
mse,8,5,105,0.04618029006358193,random
mse,8,10,105,0.049635124087490934,random
mse,8,15,105,0.03095924142018036,random
mse,8,25,105,0.05238277504231792,random
mse,8,40,105,0.028629386435535253,random
mse,8,65,105,0.030329219392961404,random
mse,8,105,105,-0.14479758698043965,random
mse,9,5,5,0.03099255605036466,best
mse,9,10,5,0.05322301691134723,best
mse,9,15,5,0.039901238165630626,best
mse,9,25,5,0.05656300230695188,best
mse,9,40,5,0.023670691044464176,best
